Fecha de notificación;Nombre departamento;ID de caso
4/08/2020 0:00;ANTIOQUIA;1.448
5/08/2020 0:00;ANTIOQUIA;1.379
6/08/2020 0:00;ANTIOQUIA;1.323
7/08/2020 0:00;ANTIOQUIA;1.002
8/08/2020 0:00;ANTIOQUIA;1.533
9/08/2020 0:00;ANTIOQUIA;1.059
10/08/2020 0:00;ANTIOQUIA;1.585
11/08/2020 0:00;ANTIOQUIA;1.181
12/08/2020 0:00;ANTIOQUIA;1.328
13/08/2020 0:00;ANTIOQUIA;1.434
14/08/2020 0:00;ANTIOQUIA;1.276
15/08/2020 0:00;ANTIOQUIA;1.095
16/08/2020 0:00;ANTIOQUIA;1.048
17/08/2020 0:00;ANTIOQUIA;1.104
18/08/2020 0:00;ANTIOQUIA;1.64
19/08/2020 0:00;ANTIOQUIA;1.418
20/08/2020 0:00;ANTIOQUIA;1.517
21/08/2020 0:00;ANTIOQUIA;1.25
22/08/2020 0:00;ANTIOQUIA;1.311
23/08/2020 0:00;ANTIOQUIA;1.17
24/08/2020 0:00;ANTIOQUIA;1.842
25/08/2020 0:00;ANTIOQUIA;1.495
26/08/2020 0:00;ANTIOQUIA;1.058
27/08/2020 0:00;ANTIOQUIA;975
28/08/2020 0:00;ANTIOQUIA;1.13
29/08/2020 0:00;ANTIOQUIA;1.12
30/08/2020 0:00;ANTIOQUIA;1.004
31/08/2020 0:00;ANTIOQUIA;1.505
1/09/2020 0:00;ANTIOQUIA;1.3
2/09/2020 0:00;ANTIOQUIA;1.185
3/09/2020 0:00;ANTIOQUIA;1.129
4/09/2020 0:00;ANTIOQUIA;1.387
5/09/2020 0:00;ANTIOQUIA;1.048
6/09/2020 0:00;ANTIOQUIA;1.17
7/09/2020 0:00;ANTIOQUIA;1.507
8/09/2020 0:00;ANTIOQUIA;1.361
9/09/2020 0:00;ANTIOQUIA;1.169
10/09/2020 0:00;ANTIOQUIA;1.47
11/09/2020 0:00;ANTIOQUIA;1.382
12/09/2020 0:00;ANTIOQUIA;1.262
13/09/2020 0:00;ANTIOQUIA;1.112
14/09/2020 0:00;ANTIOQUIA;1.531
15/09/2020 0:00;ANTIOQUIA;1.181
16/09/2020 0:00;ANTIOQUIA;740
17/09/2020 0:00;ANTIOQUIA;893
18/09/2020 0:00;ANTIOQUIA;1.073
19/09/2020 0:00;ANTIOQUIA;1.194
20/09/2020 0:00;ANTIOQUIA;635
21/09/2020 0:00;ANTIOQUIA;1.303
22/09/2020 0:00;ANTIOQUIA;1.308
23/09/2020 0:00;ANTIOQUIA;1.172
24/09/2020 0:00;ANTIOQUIA;1.338
25/09/2020 0:00;ANTIOQUIA;1.195
26/09/2020 0:00;ANTIOQUIA;1.513
27/09/2020 0:00;ANTIOQUIA;1.667
28/09/2020 0:00;ANTIOQUIA;2.469
29/09/2020 0:00;ANTIOQUIA;1.322
30/09/2020 0:00;ANTIOQUIA;1.748
1/10/2020 0:00;ANTIOQUIA;1.561
2/10/2020 0:00;ANTIOQUIA;1.902
3/10/2020 0:00;ANTIOQUIA;1.587
4/10/2020 0:00;ANTIOQUIA;1.591
5/10/2020 0:00;ANTIOQUIA;2.514
6/10/2020 0:00;ANTIOQUIA;1.675
7/10/2020 0:00;ANTIOQUIA;1.565
8/10/2020 0:00;ANTIOQUIA;1.625
9/10/2020 0:00;ANTIOQUIA;1.88
10/10/2020 0:00;ANTIOQUIA;1.536
11/10/2020 0:00;ANTIOQUIA;1.427
